"filename", "language", "Dart", "C++", "HTML", "CMake", "YAML", "JSON", "Swift", "Markdown", "XML", "JavaScript", "Properties", "comment", "blank", "total"
"c:\programas\exa_gammer_movil\.run\main.dart.run.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6
"c:\programas\exa_gammer_movil\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 7, 17
"c:\programas\exa_gammer_movil\analysis_options.yaml", "YAML", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 22, 3, 38
"c:\programas\exa_gammer_movil\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"c:\programas\exa_gammer_movil\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 11, 1, 47
"c:\programas\exa_gammer_movil\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"c:\programas\exa_gammer_movil\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"c:\programas\exa_gammer_movil\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"c:\programas\exa_gammer_movil\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"c:\programas\exa_gammer_movil\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"c:\programas\exa_gammer_movil\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\programas\exa_gammer_movil\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\programas\exa_gammer_movil\assets\imagen\main.dart", "Dart", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 36
"c:\programas\exa_gammer_movil\integration_test\clase\addClase_integration_test.dart", "Dart", 190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 57, 277
"c:\programas\exa_gammer_movil\integration_test\examen\addExamen_integration_test.dart", "Dart", 440, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 112, 609
"c:\programas\exa_gammer_movil\integration_test\login\login_integration_test.dart", "Dart", 146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 45, 206
"c:\programas\exa_gammer_movil\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 4, 13
"c:\programas\exa_gammer_movil\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\programas\exa_gammer_movil\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 1, 123
"c:\programas\exa_gammer_movil\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 24
"c:\programas\exa_gammer_movil\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 2, 5
"c:\programas\exa_gammer_movil\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 1, 38
