"filename", "language", "JSON", "Properties", "Dart", "YAML", "XML", "JavaScript", "comment", "blank", "total"
"c:\programas\exa_gammer_movil\.github\workflows\build.yml", "YAML", 0, 0, 0, 21, 0, 0, 1, 1, 23
"c:\programas\exa_gammer_movil\.github\workflows\sonarcloud.yml", "YAML", 0, 0, 0, 35, 0, 0, 0, 8, 43
"c:\programas\exa_gammer_movil\.sonarlint\connectedMode.json", "JSON", 5, 0, 0, 0, 0, 0, 0, 0, 5
"c:\programas\exa_gammer_movil\analysis_options.yaml", "YAML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\programas\exa_gammer_movil\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\programas\exa_gammer_movil\assets\imagen\main.dart", "Dart", 0, 0, -25, 0, 0, 0, -5, -6, -36
"c:\programas\exa_gammer_movil\integration_test\clase\addClase_integration_test.dart", "Dart", 0, 0, 4, 0, 0, 0, -21, 0, -17
"c:\programas\exa_gammer_movil\integration_test\examen\addExamen_integration_test.dart", "Dart", 0, 0, 4, 0, 0, 0, 0, 2, 6
"c:\programas\exa_gammer_movil\integration_test\login\login_integration_test.dart", "Dart", 0, 0, 4, 0, 0, 0, 0, 2, 6
"c:\programas\exa_gammer_movil\lib\controllers\clase_controller.dart", "Dart", 0, 0, -22, 0, 0, 0, 0, 0, -22
"c:\programas\exa_gammer_movil\lib\controllers\curso_controller.dart", "Dart", 0, 0, 40, 0, 0, 0, 0, 9, 49
"c:\programas\exa_gammer_movil\lib\controllers\examen_controller.dart", "Dart", 0, 0, -19, 0, 0, 0, -1, -1, -21
"c:\programas\exa_gammer_movil\lib\controllers\https\get.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\programas\exa_gammer_movil\lib\controllers\https\post.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\programas\exa_gammer_movil\lib\controllers\juego_controller.dart", "Dart", 0, 0, -1, 0, 0, 0, 0, 0, -1
"c:\programas\exa_gammer_movil\lib\controllers\user_controller.dart", "Dart", 0, 0, -10, 0, 0, 0, 0, 0, -10
"c:\programas\exa_gammer_movil\lib\controllers\vista_controles.dart", "Dart", 0, 0, 12, 0, 0, 0, 0, 0, 12
"c:\programas\exa_gammer_movil\lib\game\ahorcado\ui\ahorcado_page.dart", "Dart", 0, 0, -2, 0, 0, 0, 0, -1, -3
"c:\programas\exa_gammer_movil\lib\main.dart", "Dart", 0, 0, -2, 0, 0, 0, 0, 0, -2
"c:\programas\exa_gammer_movil\lib\ui\course\courseContentView.dart", "Dart", 0, 0, -77, 0, 0, 0, 0, -5, -82
"c:\programas\exa_gammer_movil\lib\ui\course\courseView.dart", "Dart", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\programas\exa_gammer_movil\lib\ui\course\widget\lessonDialog.dart", "Dart", 0, 0, 117, 0, 0, 0, 4, 6, 127
"c:\programas\exa_gammer_movil\lib\ui\course\widget\modulesTab.dart", "Dart", 0, 0, 59, 0, 0, 0, 0, 4, 63
"c:\programas\exa_gammer_movil\lib\ui\course\widget\questionsTab.dart", "Dart", 0, 0, 104, 0, 0, 0, 0, 9, 113
