"filename", "language", "JSON", "C++", "Dart", "HTML", "YAML", "Properties", "CMake", "Markdown", "Swift", "XML", "comment", "blank", "total"
"c:\programas\exa_gammer_movil\.github\workflows\build.yml", "YAML", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 1, 1, 23
"c:\programas\exa_gammer_movil\.github\workflows\sonarcloud.yml", "YAML", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 8, 43
"c:\programas\exa_gammer_movil\.run\main.dart.run.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 6
"c:\programas\exa_gammer_movil\.sonarlint\connectedMode.json", "JSON", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\programas\exa_gammer_movil\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 7, 17
"c:\programas\exa_gammer_movil\analysis_options.yaml", "YAML", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 22, 3, 39
"c:\programas\exa_gammer_movil\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 1, 8
"c:\programas\exa_gammer_movil\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 11, 1, 46
"c:\programas\exa_gammer_movil\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 2, 13
"c:\programas\exa_gammer_movil\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 2, 13
"c:\programas\exa_gammer_movil\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 1, 19
"c:\programas\exa_gammer_movil\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 1, 19
"c:\programas\exa_gammer_movil\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 1, 8
"c:\programas\exa_gammer_movil\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\programas\exa_gammer_movil\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\programas\exa_gammer_movil\integration_test\clase\addClase_integration_test.dart", "Dart", 0, 0, 194, 0, 0, 0, 0, 0, 0, 0, 9, 57, 260
"c:\programas\exa_gammer_movil\integration_test\examen\addExamen_integration_test.dart", "Dart", 0, 0, 444, 0, 0, 0, 0, 0, 0, 0, 57, 114, 615
"c:\programas\exa_gammer_movil\integration_test\login\login_integration_test.dart", "Dart", 0, 0, 150, 0, 0, 0, 0, 0, 0, 0, 15, 47, 212
"c:\programas\exa_gammer_movil\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 2, 4, 13
"c:\programas\exa_gammer_movil\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 2, 14
"c:\programas\exa_gammer_movil\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"c:\programas\exa_gammer_movil\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\programas\exa_gammer_movil\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 5
"c:\programas\exa_gammer_movil\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 1, 1, 38
"c:\programas\exa_gammer_movil\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 1, 1, 27
"c:\programas\exa_gammer_movil\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\programas\exa_gammer_movil\lib\controllers\clase_controller.dart", "Dart", 0, 0, 245, 0, 0, 0, 0, 0, 0, 0, 9, 52, 306
"c:\programas\exa_gammer_movil\lib\controllers\curso_controller.dart", "Dart", 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 1, 18, 116
"c:\programas\exa_gammer_movil\lib\controllers\detalle_clase_controller.dart", "Dart", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 1, 7, 34
"c:\programas\exa_gammer_movil\lib\controllers\examen_controller.dart", "Dart", 0, 0, 328, 0, 0, 0, 0, 0, 0, 0, 0, 37, 365
"c:\programas\exa_gammer_movil\lib\controllers\https\get.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\programas\exa_gammer_movil\lib\controllers\https\post.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\programas\exa_gammer_movil\lib\controllers\juego_controller.dart", "Dart", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 6, 39
"c:\programas\exa_gammer_movil\lib\controllers\user_controller.dart", "Dart", 0, 0, 141, 0, 0, 0, 0, 0, 0, 0, 0, 14, 155
"c:\programas\exa_gammer_movil\lib\controllers\vista_controles.dart", "Dart", 0, 0, 150, 0, 0, 0, 0, 0, 0, 0, 0, 8, 158
"c:\programas\exa_gammer_movil\lib\game\ahorcado\controller\ahorcado_controller.dart", "Dart", 0, 0, 118, 0, 0, 0, 0, 0, 0, 0, 2, 29, 149
"c:\programas\exa_gammer_movil\lib\game\ahorcado\ui\ahorcado_page.dart", "Dart", 0, 0, 143, 0, 0, 0, 0, 0, 0, 0, 1, 11, 155
"c:\programas\exa_gammer_movil\lib\game\ahorcado\widget\mensaje.dart", "Dart", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 4, 57
"c:\programas\exa_gammer_movil\lib\game\heroes\animation\atacarpj.dart", "Dart", 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 3, 12, 79
"c:\programas\exa_gammer_movil\lib\game\heroes\animation\recibirdanio.dart", "Dart", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 2, 10, 77
"c:\programas\exa_gammer_movil\lib\game\heroes\controller\animation_controller.dart", "Dart", 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 12, 111
"c:\programas\exa_gammer_movil\lib\game\heroes\controller\heroe_controller.dart", "Dart", 0, 0, 157, 0, 0, 0, 0, 0, 0, 0, 1, 18, 176
"c:\programas\exa_gammer_movil\lib\game\heroes\controller\pregunta_controller.dart", "Dart", 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 8, 89
"c:\programas\exa_gammer_movil\lib\game\heroes\models\npc.dart", "Dart", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\programas\exa_gammer_movil\lib\game\heroes\models\personaje.dart", "Dart", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\programas\exa_gammer_movil\lib\game\heroes\ui\escenario.dart", "Dart", 0, 0, 313, 0, 0, 0, 0, 0, 0, 0, 5, 17, 335
"c:\programas\exa_gammer_movil\lib\game\heroes\ui\mundos.dart", "Dart", 0, 0, 116, 0, 0, 0, 0, 0, 0, 0, 0, 5, 121
"c:\programas\exa_gammer_movil\lib\game\heroes\ui\personajes.dart", "Dart", 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 6, 105
"c:\programas\exa_gammer_movil\lib\game\heroes\widget\ataques.dart", "Dart", 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 11, 110
"c:\programas\exa_gammer_movil\lib\game\heroes\widget\barras_vida.dart", "Dart", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 6, 65
"c:\programas\exa_gammer_movil\lib\game\heroes\widget\mensaje.dart", "Dart", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 3, 52
"c:\programas\exa_gammer_movil\lib\game\heroes\widget\mundocard.dart", "Dart", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 5, 52
"c:\programas\exa_gammer_movil\lib\game\heroes\widget\personajecard.dart", "Dart", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 5, 50
"c:\programas\exa_gammer_movil\lib\game\heroes\widget\pregunta.dart", "Dart", 0, 0, 150, 0, 0, 0, 0, 0, 0, 0, 0, 15, 165
"c:\programas\exa_gammer_movil\lib\game\heroes\widget\preyres.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
